# SCADA frequency-deviation telemetry, generator G4.  dt = 0.2 s.
# Column: t (s), freq_dev (rad/s, rotor speed deviation from grid nominal).
# Question: is this deterministic (low-dimensional chaos) or stochastic noise?
t,freq_dev
0.0100,1.456841
0.2100,1.411916
0.4100,1.316886
0.6100,1.202486
0.8100,1.102242
1.0100,0.983911
1.2100,0.903338
1.4100,0.835471
1.6100,0.713916
1.8100,0.633835
2.0100,0.584483
2.2100,0.514708
2.4100,0.445311
2.6100,0.361549
2.8100,0.316463
3.0100,0.266920
3.2100,0.160589
3.4100,0.110425
3.6100,0.011257
3.8100,-0.049704
4.0100,-0.136863
4.2100,-0.184213
4.4100,-0.287815
4.6100,-0.344353
4.8100,-0.438903
5.0100,-0.544180
5.2100,-0.696559
5.4100,-0.771946
5.6100,-0.887108
5.8100,-1.019334
6.0100,-1.196856
6.2100,-1.325898
6.4100,-1.483081
6.6100,-1.610942
6.8100,-1.671195
7.0100,-1.752497
7.2100,-1.710581
7.4100,-1.586398
7.6100,-1.432363
7.8100,-1.173915
8.0100,-0.871636
8.2100,-0.543335
8.4100,-0.223578
8.6100,0.151547
8.8100,0.518897
9.0100,0.783786
9.2100,1.122536
9.4100,1.351958
9.6100,1.520849
9.8100,1.688805
10.0100,1.710441
10.2100,1.658217
10.4100,1.627961
10.6100,1.559570
10.8100,1.461606
11.0100,1.406583
11.2100,1.339644
11.4100,1.328927
11.6100,1.348861
11.8100,1.342112
12.0100,1.424662
12.2100,1.502012
12.4100,1.622155
12.6100,1.708970
12.8100,1.819996
13.0100,1.889424
13.2100,1.913189
13.4100,1.844171
13.6100,1.641222
13.8100,1.427217
14.0100,1.178217
14.2100,0.814746
14.4100,0.519093
14.6100,0.198536
14.8100,-0.094020
15.0100,-0.408473
15.2100,-0.707245
15.4100,-0.952328
15.6100,-1.148754
15.8100,-1.255096
16.0100,-1.369228
16.2100,-1.371072
16.4100,-1.293699
16.6100,-1.178607
16.8100,-1.007250
17.0100,-0.816575
17.2100,-0.559849
17.4100,-0.315288
17.6100,-0.016267
17.8100,0.250993
18.0100,0.522337
18.2100,0.823370
18.4100,1.084507
18.6100,1.374878
18.8100,1.581499
19.0100,1.769253
19.2100,1.844176
19.4100,1.923546
19.6100,1.874620
19.8100,1.824793
20.0100,1.806784
20.2100,1.756669
20.4100,1.773554
20.6100,1.858926
20.8100,1.898466
21.0100,2.062863
21.2100,2.291960
21.4100,2.541130
21.6100,2.762199
21.8100,2.932449
22.0100,3.006799
22.2100,2.923794
22.4100,2.699935
22.6100,2.463966
22.8100,2.202996
23.0100,1.948053
23.2100,1.790462
23.4100,1.638917
23.6100,1.597306
23.8100,1.546680
24.0100,1.541453
24.2100,1.543144
24.4100,1.570680
24.6100,1.537488
24.8100,1.529408
25.0100,1.492136
25.2100,1.327940
25.4100,1.227071
25.6100,0.977728
25.8100,0.804772
26.0100,0.538088
26.2100,0.336365
26.4100,0.100621
26.6100,-0.135323
